N,R_i,nh,nz,nhovernz,t_start,t_end,kmax_eta,init
0.66,18000,960,480,2,30.0,34.0,0.972035872767224,Rb1.8e+04_640x640x320_V3x3x1.5_N0.66_2022-04-01_14-27-27
3.0,900,960,480,2,30.0,34.0,1.0004910904604358,Rb900_640x640x320_V3x3x1.5_N3_2022-04-01_12-44-21
10.0,160,1344,672,2,40.0,44.0,0.8891695216286166,Rb160_896x896x448_V3x3x1.5_N10_2022-03-28_17-12-18
10.0,160,1536,768,2,44.0,48.0,1.0161937390041333,"(1344, 672)"
20.0,80,1728,432,4,44.0,48.0,0.6749582303939464,Rb80_1344x1344x336_V3x3x0.75_N20_2022-04-07_09-01-21
20.0,160,1344,336,4,30.0,34.0,0.31203773041857524,Rb160_640x640x160_V3x3x0.75_N20_2022-03-22_13-03-55
20.0,160,1728,432,4,34.0,38.0,0.4011913676810253,"(1344, 336)"
30.0,10,1344,336,4,30.0,34.0,1.343520001441963,Rb10_640x640x160_V3x3x0.75_N30_2022-04-01_10-30-38
30.0,20,1344,336,4,30.0,34.0,0.800233784076591,Rb20_640x640x160_V3x3x0.75_N30_2022-04-01_10-30-38
30.0,40,1344,336,4,30.0,34.0,0.476575362376115,Rb40_640x640x160_V3x3x0.75_N30_2022-04-01_10-30-37
30.0,40,1920,480,4,34.0,38.0,0.6808219462515928,"(1344, 336)"
40.0,20,2304,288,8,48.0,50.5,0.8907031440908701,Rb20_1792x1792x224_V3x3x0.375_N40_2022-04-02_21-52-51
40.0,20,2688,336,8,50.5,53.0,1.0391536681060152,"(2304, 288)"
40.0,40,2304,288,8,48.0,50.5,0.5264367728064826,Rb40_1792x1792x224_V3x3x0.375_N40_2022-04-02_22-06-42
40.0,80,1920,240,8,44.0,48.0,0.26098147324884313,Rb80_1344x1344x168_V3x3x0.375_N40_2022-03-30_15-20-56
40.0,80,2304,288,8,48.0,50.5,0.31317776789861174,"(1920, 240)"
80.0,10,3072,192,16,44.0,46.5,0.6963788628780362,Rb10_1344x1344x84_V3x3x0.188_N80_2022-04-26_20-26-52
120.0,10,3072,192,16,44.0,46.5,0.37804174367221355,Rb10_1344x1344x84_V3x3x0.188_N120_2022-04-26_20-57-59
